 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

63	9.5938626688608653e-01 +I* -4.5397121465471644e+00	9.5938626688608653e-01 +I* 4.5397121465471644e+00	1.9187725337721731e+00 +I* 0.0000000000000000e+00
64	3.3956342194345410e+00 +I* 2.1740572580097525e-01	3.3956342194345410e+00 +I* -2.1740572580097525e-01	6.7912684388690820e+00 +I* 0.0000000000000000e+00
65	1.5368841363474404e+00 +I* -4.3272786076276315e+00	1.5368841363474404e+00 +I* 4.3272786076276315e+00	3.0737682726948807e+00 +I* 0.0000000000000000e+00
66	1.5315955304913293e+00 +I* 4.3301067085651770e+00	1.5315955304913293e+00 +I* -4.3301067085651770e+00	3.0631910609826587e+00 +I* 0.0000000000000000e+00
67	3.0918076059538913e+00 +I* 2.2117577515307931e+00	3.0918076059538913e+00 +I* -2.2117577515307931e+00	6.1836152119077825e+00 +I* 0.0000000000000000e+00
68	3.3538087811847372e+00 +I* 8.8534857047817905e-01	3.3538087811847372e+00 +I* -8.8534857047817905e-01	6.7076175623694745e+00 +I* 0.0000000000000000e+00
69	2.4672806180247480e+00 +I* -3.4943235188538266e+00	2.4672806180247480e+00 +I* 3.4943235188538266e+00	4.9345612360494959e+00 +I* 0.0000000000000000e+00
70	3.0828780595330967e+00 +I* -2.2402462515955506e+00	3.0828780595330967e+00 +I* 2.2402462515955506e+00	6.1657561190661934e+00 +I* 0.0000000000000000e+00
71	2.9812981339861437e+00 +I* 2.5316313334738170e+00	2.9812981339861437e+00 +I* -2.5316313334738170e+00	5.9625962679722875e+00 +I* 0.0000000000000000e+00
72	-4.4631197169703839e-02 +I* 4.4575194094588406e+00	-4.4631197169703839e-02 +I* -4.4575194094588406e+00	-8.9262394339407677e-02 +I* 0.0000000000000000e+00
73	2.0337895855575594e+00 +I* 3.9763178368402556e+00	2.0337895855575594e+00 +I* -3.9763178368402556e+00	4.0675791711151188e+00 +I* 0.0000000000000000e+00
74	1.6239539565355501e+00 +I* 4.2781793538877215e+00	1.6239539565355501e+00 +I* -4.2781793538877215e+00	3.2479079130711002e+00 +I* 0.0000000000000000e+00
75	3.3787231329063205e-01 +I* -4.5619636576759905e+00	3.3787231329063205e-01 +I* 4.5619636576759905e+00	6.7574462658126411e-01 +I* 0.0000000000000000e+00
76	3.3326914378066501e+00 +I* 1.0705828042552497e+00	3.3326914378066501e+00 +I* -1.0705828042552497e+00	6.6653828756133002e+00 +I* 0.0000000000000000e+00
77	3.2027382339957482e+00 +I* 1.8024387056615665e+00	3.2027382339957482e+00 +I* -1.8024387056615665e+00	6.4054764679914964e+00 +I* 0.0000000000000000e+00
78	3.0520098783847467e+00 +I* -2.3347947496981947e+00	3.0520098783847467e+00 +I* 2.3347947496981947e+00	6.1040197567694934e+00 +I* 0.0000000000000000e+00
79	6.4403579952020462e-01 +I* 4.5780276193701512e+00	6.4403579952020462e-01 +I* -4.5780276193701512e+00	1.2880715990404092e+00 +I* 0.0000000000000000e+00
80	3.3672702556991361e+00 +I* -7.4134236108578366e-01	3.3672702556991361e+00 +I* 7.4134236108578366e-01	6.7345405113982721e+00 +I* 0.0000000000000000e+00
81	2.5561406113796314e-01 +I* -4.5480316657295417e+00	2.5561406113796314e-01 +I* 4.5480316657295417e+00	5.1122812227592629e-01 +I* 0.0000000000000000e+00
82	1.1873720702516231e+00 +I* 4.4783402967414068e+00	1.1873720702516231e+00 +I* -4.4783402967414068e+00	2.3747441405032461e+00 +I* 0.0000000000000000e+00
