 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 2 Xsoglia_i_root== 4.47214

90	7.4893306838849771e-01 +I* 1.4089028781243813e+00	7.4893306838849771e-01 +I* -1.4089028781243813e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
91	7.4893306838849749e-01 +I* -2.4072969017834738e+00	7.4893306838849749e-01 +I* 2.4072969017834738e+00	1.4978661367769950e+00 +I* 0.0000000000000000e+00
92	7.4893306838849771e-01 +I* -1.3348247478511497e+00	7.4893306838849771e-01 +I* 1.3348247478511497e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
93	7.4893306838849771e-01 +I* 2.5236784204864131e+00	7.4893306838849771e-01 +I* -2.5236784204864131e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
94	7.4893306838849771e-01 +I* -2.2975895371988306e+00	7.4893306838849771e-01 +I* 2.2975895371988306e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
95	7.4893306838849771e-01 +I* 1.3542081042634502e+00	7.4893306838849771e-01 +I* -1.3542081042634502e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
96	7.4893306838849771e-01 +I* -2.0590656848514106e+00	7.4893306838849771e-01 +I* 2.0590656848514106e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
97	7.4893306838849771e-01 +I* 8.0635223480300855e-01	7.4893306838849771e-01 +I* -8.0635223480300855e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
98	7.4893306838849771e-01 +I* 1.9102795776076469e+00	7.4893306838849771e-01 +I* -1.9102795776076469e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
99	7.4893306838849794e-01 +I* -1.8175461002303586e+00	7.4893306838849794e-01 +I* 1.8175461002303586e+00	1.4978661367769959e+00 +I* 0.0000000000000000e+00
100	7.4893306838849771e-01 +I* 2.4229129329852843e+00	7.4893306838849771e-01 +I* -2.4229129329852843e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00

END #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

