 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot

88	3.8376418216567437e-01 +I* 8.8825198023935392e-01	3.8376418216567437e-01 +I* -8.8825198023935392e-01
89	3.8376418216567437e-01 +I* 2.4233087089020633e+00	3.8376418216567437e-01 +I* -2.4233087089020633e+00
90	3.8376418216567421e-01 +I* -1.5572915052834868e+00	3.8376418216567421e-01 +I* 1.5572915052834868e+00
91	3.8376418216567437e-01 +I* -7.8976314095213185e-01	3.8376418216567437e-01 +I* 7.8976314095213185e-01
92	3.8376418216567454e-01 +I* -2.2234776620777059e-02	3.8376418216567454e-01 +I* 2.2234776620777059e-02
93	3.8376418216567437e-01 +I* 2.2803503163732590e+00	3.8376418216567437e-01 +I* -2.2803503163732590e+00
94	3.8376418216567437e-01 +I* 2.2803503163732590e+00	3.8376418216567437e-01 +I* -2.2803503163732590e+00
95	3.8376418216567437e-01 +I* -1.7002498978122911e+00	3.8376418216567437e-01 +I* 1.7002498978122911e+00
96	3.8376418216567421e-01 +I* -1.6519316914958157e-01	3.8376418216567421e-01 +I* 1.6519316914958157e-01
97	3.8376418216567437e-01 +I* 1.3698635595130997e+00	3.8376418216567437e-01 +I* -1.3698635595130997e+00
98	3.8376418216567437e-01 +I* 1.3698635595130997e+00	3.8376418216567437e-01 +I* -1.3698635595130997e+00
99	3.8376418216567421e-01 +I* 2.9049202881758092e+00	3.8376418216567421e-01 +I* -2.9049202881758092e+00
100	3.8376418216567437e-01 +I* -1.0756799260097409e+00	3.8376418216567437e-01 +I* 1.0756799260097409e+00

END #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot

