 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 3 Xsoglia_i_root== 2.71442

68	6.9435925934725429e-01 +I* 3.4541359185857958e+00	6.9435925934725429e-01 +I* -3.4541359185857958e+00	1.3887185186945086e+00 +I* 0.0000000000000000e+00
69	4.8927636155335347e-01 +I* -3.5839607968163616e+00	4.8927636155335347e-01 +I* 3.5839607968163616e+00	9.7855272310670693e-01 +I* 0.0000000000000000e+00
70	6.5455999108218155e-01 +I* -8.2901017360924412e-01	6.5455999108218155e-01 +I* 8.2901017360924412e-01	1.3091199821643631e+00 +I* 0.0000000000000000e+00
71	5.7874138425017529e-01 +I* 3.5388025436151325e+00	5.7874138425017529e-01 +I* -3.5388025436151325e+00	1.1574827685003506e+00 +I* 0.0000000000000000e+00
72	1.6909024212445767e-01 +I* 3.6283723316401484e+00	1.6909024212445767e-01 +I* -3.6283723316401484e+00	3.3818048424891534e-01 +I* 0.0000000000000000e+00
73	9.8389216884697406e-01 +I* -2.9724580422082401e+00	9.8389216884697406e-01 +I* 2.9724580422082401e+00	1.9677843376939481e+00 +I* 0.0000000000000000e+00
74	9.0591853061008076e-01 +I* 1.7388570947948254e+00	9.0591853061008076e-01 +I* -1.7388570947948254e+00	1.8118370612201615e+00 +I* 0.0000000000000000e+00
75	2.2053168394425146e-01 +I* -3.6331877971655140e+00	2.2053168394425146e-01 +I* 3.6331877971655140e+00	4.4106336788850292e-01 +I* 0.0000000000000000e+00
76	8.0952824668903334e-01 +I* -3.3297436141423815e+00	8.0952824668903334e-01 +I* 3.3297436141423815e+00	1.6190564933780667e+00 +I* 0.0000000000000000e+00
77	6.2043921471928765e-01 +I* 6.6525523191310265e-01	6.2043921471928765e-01 +I* -6.6525523191310265e-01	1.2408784294385753e+00 +I* 0.0000000000000000e+00
